Electrode,Band,Approximate Entropy,Permutation Entropy,Sample Entropy,SVD Entropy
Fp1,cD1,1.8362762798982875,2.5449230233279256,1.6825122612202685,1.4296759937997474
Fp1,cD2,2.067140066569938,2.5779996438267667,1.9681646810555768,1.5704161799259988
Fp1,cD3,2.0770203130882425,2.5836532529467453,2.0588043875023687,1.5823539061676604
Fp1,cD4,1.987913565880742,2.5753251969143056,2.0723850607862566,1.5687522862214818
Fp1,cD5,1.8184859828399755,2.577346931707228,2.0589417780736783,1.5693651912967594
Fp1,cA5,0.6181541987783137,2.531973552287883,0.49562245768267954,1.2951842012428503
Fp2,cD1,1.8491527854263152,2.5445667501665628,1.6839747173940007,1.4358545873061541
Fp2,cD2,2.0667057346446205,2.5735282992805555,1.9504904795850222,1.5593774766517017
Fp2,cD3,2.1043260793330143,2.582351748675467,2.1055026317955483,1.5816290429238702
Fp2,cD4,1.9995858571627219,2.578349694051892,2.0935651738362164,1.5764635664995121
Fp2,cD5,1.831679641527633,2.5775618949224035,2.0835411081827684,1.5747231895085632
Fp2,cA5,0.6641112855293647,2.5494540561827277,0.5770514843073806,1.3086343360000159
F3,cD1,1.8145401143393904,2.5409589663498626,1.6513872820297408,1.4208427634720053
F3,cD2,2.0482103285316127,2.581769920487316,1.9361878017472873,1.5730876239082865
F3,cD3,2.0469007735987095,2.5845426698633145,2.0329132990613696,1.5847980233418841
F3,cD4,1.9753602055554165,2.5761764101715645,2.0280501794774817,1.5798306940293942
F3,cD5,1.826314780923,2.5829202234069246,2.0645812395181773,1.5799948730917834
F3,cA5,1.2823140626414147,2.5573704156271146,1.3263370563964394,1.3617087641418832
F4,cD1,1.932520589897205,2.5426264062406068,1.7967674710451804,1.4411625851175334
F4,cD2,2.1487331298959393,2.580373791969499,2.0430372043886775,1.5711550912756507
F4,cD3,2.093460440730058,2.582871116608154,2.089873790618735,1.5807760680533094
F4,cD4,1.9868380243313792,2.5728555518161658,2.0612728998030025,1.5697416768311823
F4,cD5,1.8328805925342095,2.5738072893877963,2.062102354085158,1.577981537051362
F4,cA5,1.3193217522674607,2.553365511344317,1.3589621225586153,1.3802638412606558
C3,cD1,1.9079696828191812,2.5496673475422917,1.7497597892425931,1.458527139494139
C3,cD2,2.0797232025544563,2.580660910543433,1.995344860981084,1.5751221742655814
C3,cD3,2.073152685945317,2.5818489346979696,2.0707072721994946,1.5788065449207551
C3,cD4,1.9811139948680232,2.5744126786485264,2.0589891069372146,1.5597444207251372
C3,cD5,1.8384872493597397,2.5808763407386026,2.095050788362832,1.5797651955109329
C3,cA5,1.522247638433547,2.5371610614394466,1.7438183216654455,1.4439851898645941
C4,cD1,1.8727763976856089,2.537766418134746,1.7130081174402265,1.4318285333567915
C4,cD2,2.1404373036000264,2.581402182207206,2.044765780681984,1.5760782630940295
C4,cD3,2.1173748369302388,2.584398824868166,2.1282762663032435,1.5837655444925862
C4,cD4,1.9804692621106224,2.5707682436833705,2.0755595822265778,1.5514809910191831
C4,cD5,1.8391649986720262,2.5832603115805055,2.095250968641253,1.5822347739214035
C4,cA5,1.5191779376564956,2.5495346220546127,1.7440539469025014,1.448938238386182
PO3,cD1,1.9216409974094528,2.5407420356303083,1.7707081295972675,1.4438993137941494
PO3,cD2,2.1470397330312814,2.5801999666649804,2.0642871572583967,1.575033529592289
PO3,cD3,2.0974999606138214,2.5802511891049065,2.096796534919665,1.579108547751422
PO3,cD4,1.9860528386408802,2.5709677516321667,2.0741899086681426,1.5528090584901584
PO3,cD5,1.824178800176031,2.583617448499908,2.0943669040736768,1.5764314416575131
PO3,cA5,1.3418259757855822,2.557705810316751,1.3695584551944955,1.3945169832094413
P4,cD1,1.9552685978284625,2.54376291237096,1.8275940668939672,1.451872656755809
P4,cD2,2.142441970484631,2.5795961460629817,2.0797433721903706,1.5719393786770954
P4,cD3,2.1108898859744913,2.581137225546577,2.1259321381398495,1.5767130969147842
P4,cD4,1.9877316819046396,2.5656926979498293,2.0788923564485837,1.5513906429805706
P4,cD5,1.8475158816184756,2.574169481825759,2.0973855432035693,1.571780174706964
P4,cA5,1.4705005712881385,2.5482469520325037,1.5753775459701596,1.4078795351102569
